parameter,estimate,se,ci_lower,ci_upper
tvcl,0.04272484430145444,0.002857610553973345,0.037124030533825125,0.04832565806908376
tvvc,4.2166493753148515,0.27126415537854365,3.684981400476228,4.748317350153475
tvq,0.05380318173778995,0.004284709759945802,0.0454053049240889,0.062201058551491
tvvp,8.174135996825761,0.5780608780640467,7.041157494948628,9.307114498702894
"Ω₁,₁",0.1035644790971412,0.031231105800427754,0.04235263653094271,0.1647763216633397
"Ω₂,₂",0.09958005888276933,0.025526930491157906,0.04954819448424239,0.14961192328129627
"Ω₃,₃",0.13034332069300877,0.03940203268237506,0.053116755717883365,0.20756988566813417
"Ω₄,₄",0.09181525884601094,0.03184476688718573,0.02940066265105311,0.15422985504096876
σ_add,0.019108167391773442,0.03392989534683533,-0.04739320548723709,0.08560954027078398
σ_prop,0.06624958299916225,0.005504510122959431,0.0554609414056256,0.0770382245926989
